Fight Number	Name 1	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Name 2	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
3		SLATNER	Raphael	0	0	0	1	0	0	0		PFEIFFER	Johannes	0	0	0	0	0	0	0	
4		ZACHAR	Christian	0	0	0	1	0	0	0		HALAS	Marian	0	0	1	1	0	1	10	
5		RADLHERR	Christoph	0	0	1	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
6		FILEK	Rafal	0	0	0	0	0	0	0		MATEI	Daniel	0	1	0	1	0	1	7	
7		PRENTNER	Clemens	2	0	0	0	0	0	0		KRONSCHLÄGER	Florian	1	2	0	2	0	1	10	
8		GARBACIK	Bartek	0	1	1	0	0	1	10		WEIDLINGER	Lukas	0	0	0	1	0	0	0	
9		STADLBAUER	Christian	0	1	1	0	0	1	10		MUSSNIG	Daniel	0	0	0	0	0	0	0	
10		SLATNER	Raphael	0	0	0	0	0	0	0		PFEIFFER	Johannes	1	0	0	1	0	1	5	
11		ZACHAR	Christian	0	0	0	3	0	0	0		HALAS	Marian	1	1	0	0	0	1	7	
12		RADLHERR	Christoph	0	0	1	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
13		PRENTNER	Clemens	0	0	0	2	0	0	0		MATEI	Daniel	2	0	1	0	0	1	10	
14		FILEK	Rafal	0	2	0	0	0	1	10		KRONSCHLÄGER	Florian	0	0	0	3	0	0	0	
1		ENGLMAIER	Tobias	0	2	0	0	0	1	10		PÜHRINGER	Reinhold	0	0	0	0	0	0	0	
2		SCHMIDHOFER	Thomas	0	0	0	0	0	0	0		REITER	Georg	1	0	1	0	0	1	10	
3		WIMBERGER	Markus	0	0	0	0	0	0	0		SHALA	Driton	1	0	1	0	0	1	10	
4		HÖLLWART	Hermann	0	0	0	1	0	0	0		FERCHER	Albert	0	1	0	0	0	1	7	
5		SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0		SCHAUBMAYR	Rene	0	0	1	0	0	1	10	
6		ASCHABER	Anton	0	0	0	0	0	0	0		JURECKA	Alexandr	1	0	1	0	0	1	10	
7		RIESS	Rupert Jun	0	0	0	0	1	0	0		ALLERSTORFER	Daniel	0	1	1	0	0	1	10	
8		ENGLMAIER	Tobias	0	0	1	0	0	1	10		PÜHRINGER	Reinhold	0	0	0	0	0	0	0	
9		SCHMIDHOFER	Thomas	0	0	0	0	0	0	0		REITER	Georg	1	0	1	0	0	1	10	
10		WIMBERGER	Markus	0	0	0	0	0	0	0		SHALA	Driton	0	0	1	0	0	1	10	
11		WIMBERGER	Matthias	0	0	0	0	0	0	0		FERCHER	Albert	1	0	1	0	0	1	10	
12		HÖLLWART	Hermann	0	0	0	1	0	0	0		SCHAUBMAYR	Rene	0	0	0	1	0	0	0	
13		SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0		JURECKA	Alexandr	0	2	0	0	0	1	10	
14		DUM	Alois	0	0	0	0	0	0	0		ALLERSTORFER	Daniel	0	0	1	0	0	1	10	
1		TIEFGRABER	Andreas	0	0	0	2	0	0	0		PASOLLI	Ivo	2	0	0	1	0	1	5	
2		WINDBICHLER	Tobias	0	0	0	0	0	0	0		IVINGER	Erich	0	0	1	0	0	1	10	
3		PFEIFFER	Johannes	2	0	1	0	0	1	10		DRACK	Lukas	0	0	0	2	0	0	0	
